taken from https://physics.nist.gov/PhysRefData/FFast/html/form.html
    E              f1 
   keV           e atom-1

1.5118647E+00  2.47821E+01
1.5194240E+00  2.46308E+01
1.5270212E+00  2.44707E+01
1.5346563E+00  2.43009E+01
1.5423295E+00  2.41203E+01
1.5500412E+00  2.39276E+01
1.5577914E+00  2.37211E+01
1.5655804E+00  2.34991E+01
1.5734083E+00  2.32591E+01
1.5812753E+00  2.29983E+01
1.5891817E+00  2.27131E+01
1.5971276E+00  2.23986E+01
1.6051132E+00  2.20489E+01
1.6131388E+00  2.16552E+01
1.6212045E+00  2.12058E+01
1.6293105E+00  2.06827E+01
1.6374571E+00  2.00577E+01
1.6456443E+00  1.92819E+01
1.6538726E+00  1.82574E+01
1.6621419E+00  1.67363E+01
1.6704526E+00  1.36146E+01
1.6747007E+00  4.64497E+00
1.6750994E+00  4.49118E+00
1.6788049E+00  1.30021E+01
1.6871989E+00  1.61340E+01
1.6956349E+00  1.73862E+01
1.7041131E+00  1.80060E+01
1.7126337E+00  1.81618E+01
1.7211968E+00  1.75651E+01
1.7269841E+00  1.32390E+01
1.7274159E+00  1.31930E+01
1.7298028E+00  1.68801E+01
1.7384518E+00  1.94458E+01
1.7471441E+00  2.06785E+01
1.7558798E+00  2.15639E+01
1.7646592E+00  2.22720E+01
1.7734825E+00  2.28675E+01
1.7823499E+00  2.33827E+01
1.7912617E+00  2.38363E+01
1.8002180E+00  2.42405E+01
1.8092191E+00  2.46033E+01
1.8182652E+00  2.49304E+01
1.8273565E+00  2.52257E+01
1.8364933E+00  2.54918E+01
1.8456757E+00  2.57302E+01
1.8549041E+00  2.59413E+01
1.8641786E+00  2.61241E+01
1.8734995E+00  2.62757E+01
1.8828670E+00  2.63900E+01
1.8922814E+00  2.64538E+01
1.9017428E+00  2.64363E+01
1.9112515E+00  2.62375E+01
1.9194747E+00  2.52812E+01
1.9208077E+00  2.40373E+01
1.9225253E+00  2.53179E+01
1.9304118E+00  2.66053E+01
1.9400638E+00  2.72335E+01
1.9497642E+00  2.76713E+01
1.9595130E+00  2.80275E+01
1.9693105E+00  2.83362E+01
1.9791571E+00  2.86126E+01
1.9890529E+00  2.88651E+01
1.9989981E+00  2.90986E+01
2.0089931E+00  2.93165E+01
2.0190381E+00  2.95207E+01
2.0291333E+00  2.97142E+01
2.0392790E+00  2.98985E+01
2.0494754E+00  3.00744E+01
2.0597227E+00  3.02428E+01
2.0700213E+00  3.04043E+01
2.0803714E+00  3.05596E+01
2.0907733E+00  3.07091E+01
2.1012272E+00  3.08532E+01
2.1117333E+00  3.09923E+01
2.1222920E+00  3.11269E+01
2.1329034E+00  3.12571E+01
2.1435680E+00  3.13834E+01
2.1542858E+00  3.15059E+01
2.1650572E+00  3.16249E+01
2.1758825E+00  3.17407E+01
2.1867619E+00  3.18532E+01
2.1976957E+00  3.19623E+01
2.2086842E+00  3.20683E+01
2.2197276E+00  3.21713E+01
2.2308263E+00  3.22715E+01
2.2419804E+00  3.23690E+01
2.2531903E+00  3.24640E+01
2.2644562E+00  3.25564E+01
2.2757785E+00  3.26462E+01
2.2871574E+00  3.27336E+01
2.2985932E+00  3.28188E+01
2.3100862E+00  3.29017E+01
2.3216366E+00  3.29825E+01
2.3332448E+00  3.30613E+01
2.3449110E+00  3.31382E+01
2.3566356E+00  3.32132E+01
2.3684187E+00  3.32864E+01
2.3802608E+00  3.33578E+01
2.3921621E+00  3.34275E+01
2.4041230E+00  3.34957E+01
2.4161436E+00  3.35622E+01
2.4282243E+00  3.36273E+01
2.4403654E+00  3.36909E+01
2.4525672E+00  3.37531E+01
2.4648301E+00  3.38140E+01
2.4771542E+00  3.38736E+01
2.4895400E+00  3.39320E+01
2.5019877E+00  3.39892E+01
2.5144976E+00  3.40449E+01
2.5270701E+00  3.40993E+01
2.5397055E+00  3.41524E+01
2.5524040E+00  3.42042E+01
2.5651660E+00  3.42548E+01
2.5779919E+00  3.43042E+01
2.5908818E+00  3.43525E+01
2.6038362E+00  3.43997E+01
2.6168554E+00  3.44457E+01
2.6299397E+00  3.44908E+01
2.6430894E+00  3.45348E+01
2.6563048E+00  3.45779E+01
2.6695863E+00  3.46200E+01
2.6829343E+00  3.46611E+01
2.6963489E+00  3.47014E+01
2.7098307E+00  3.47408E+01
2.7233798E+00  3.47793E+01
2.7369967E+00  3.48170E+01
2.7506817E+00  3.48539E+01
2.7644351E+00  3.48900E+01
2.7782573E+00  3.49253E+01
2.7921486E+00  3.49600E+01
2.8061093E+00  3.49939E+01
2.8201399E+00  3.50271E+01
2.8342406E+00  3.50597E+01
2.8484118E+00  3.50917E+01
2.8626539E+00  3.51230E+01
2.8769671E+00  3.51538E+01
2.8913520E+00  3.51841E+01
2.9058087E+00  3.52139E+01
2.9203378E+00  3.52433E+01
2.9349394E+00  3.52723E+01
2.9496141E+00  3.53012E+01
2.9643622E+00  3.53301E+01
