taken from https://physics.nist.gov/PhysRefData/FFast/html/form.html
    E              f1 
   keV           e atom-1

5.295467E+00  1.01896E+01
5.660855E+00  1.01736E+01
6.051453E+00  1.01586E+01
6.469004E+00  1.01447E+01
6.915365E+00  1.01319E+01
7.392525E+00  1.01200E+01
7.902609E+00  1.01091E+01
8.447890E+00  1.00992E+01
9.030794E+00  1.00903E+01
9.653919E+00  1.00818E+01
1.032004E+01  1.00740E+01
1.103212E+01  1.00668E+01
1.179334E+01  1.00602E+01
1.260708E+01  1.00542E+01
1.347697E+01  1.00487E+01
1.440688E+01  1.00438E+01
1.540095E+01  1.00393E+01
1.646362E+01  1.00353E+01
1.759961E+01  1.00316E+01
1.881398E+01  1.00283E+01
2.011215E+01  1.00253E+01
2.149988E+01  1.00226E+01
2.298338E+01  1.00202E+01
2.456923E+01  1.00180E+01
2.626450E+01  1.00161E+01
2.807676E+01  1.00144E+01
3.001405E+01  1.00128E+01
3.208502E+01  1.00114E+01
3.429889E+01  1.00101E+01
3.666551E+01  1.00090E+01
3.919543E+01  1.00080E+01
4.189992E+01  1.00071E+01
4.479101E+01  1.00063E+01
4.788159E+01  1.00056E+01
5.118542E+01  1.00050E+01
5.471721E+01  1.00044E+01
5.849270E+01  1.00039E+01
6.252870E+01  1.00034E+01
6.684318E+01  1.00031E+01
7.145536E+01  1.00027E+01
7.638578E+01  1.00024E+01
8.165640E+01  1.00021E+01
8.729069E+01  1.00019E+01
9.331374E+01  1.00016E+01
9.975239E+01  1.00015E+01
1.066353E+02  1.00013E+01
1.139931E+02  1.00011E+01
1.218587E+02  1.00010E+01
1.302669E+02  1.00009E+01
1.392553E+02  1.00008E+01
1.488640E+02  1.00007E+01
1.591356E+02  1.00006E+01
1.701159E+02  1.00005E+01
1.818539E+02  1.00005E+01
1.944018E+02  1.00004E+01
2.078156E+02  1.00004E+01
2.221548E+02  1.00003E+01
2.374835E+02  1.00003E+01
2.538699E+02  1.00003E+01
2.713869E+02  1.00002E+01
2.901126E+02  1.00002E+01
3.101304E+02  1.00002E+01
3.315294E+02  1.00002E+01
3.544049E+02  1.00001E+01
3.788588E+02  1.00001E+01
4.050001E+02  1.00001E+01
4.329451E+02  1.00001E+01
