1	0.000000E+00 
2	1.953125E-04 
3	3.906250E-04 
4	5.859375E-04 
5	7.812500E-04 
6	9.765625E-04 
7	1.171875E-03 
8	1.367188E-03 
9	1.562500E-03 
10	1.757813E-03 
11	1.953125E-03 
12	2.148438E-03 
13	2.343750E-03 
14	2.539063E-03 
15	2.734375E-03 
16	2.929688E-03 
17	3.125000E-03 
18	3.320313E-03 
19	3.515625E-03 
20	3.710938E-03 
21	3.906250E-03 
22	4.101563E-03 
23	4.296875E-03 
24	4.492188E-03 
25	4.687500E-03 
26	4.882812E-03 
27	5.078125E-03 
28	5.273438E-03 
29	5.468750E-03 
30	5.664063E-03 
31	5.859375E-03 
32	6.054688E-03 
33	6.250000E-03 
34	6.445313E-03 
35	6.640625E-03 
36	6.835938E-03 
37	7.031250E-03 
38	7.226563E-03 
39	7.421875E-03 
40	7.617188E-03 
41	7.812500E-03 
42	8.007813E-03 
43	8.203125E-03 
44	8.398437E-03 
45	8.593750E-03 
46	8.789062E-03 
47	8.984375E-03 
48	9.179688E-03 
49	9.375000E-03 
50	9.570313E-03 
51	9.765625E-03 
52	9.960938E-03 
53	1.015625E-02 
54	1.035156E-02 
55	1.054688E-02 
56	1.074219E-02 
57	1.093750E-02 
58	1.113281E-02 
59	1.132813E-02 
60	1.152344E-02 
61	1.171875E-02 
62	1.191406E-02 
63	1.210938E-02 
64	1.230469E-02 
65	1.250000E-02 
66	1.269531E-02 
67	1.289063E-02 
68	1.308594E-02 
69	1.328125E-02 
70	1.347656E-02 
71	1.367188E-02 
72	1.386719E-02 
73	1.406250E-02 
74	1.425781E-02 
75	1.445313E-02 
76	1.464844E-02 
77	1.484375E-02 
78	1.503906E-02 
79	1.523438E-02 
80	1.542969E-02 
81	1.562500E-02 
82	1.582031E-02 
83	1.601563E-02 
84	1.621094E-02 
85	1.640625E-02 
86	1.660156E-02 
87	1.679687E-02 
88	1.699219E-02 
89	1.718750E-02 
90	1.738281E-02 
91	1.757812E-02 
92	1.777344E-02 
93	1.796875E-02 
94	1.816406E-02 
95	1.835938E-02 
96	1.855469E-02 
97	1.875000E-02 
98	1.894531E-02 
99	1.914063E-02 
100	1.933594E-02 
101	1.953125E-02 
102	1.972656E-02 
103	1.992188E-02 
104	2.011719E-02 
105	2.031250E-02 
106	2.050781E-02 
107	2.070313E-02 
108	2.089844E-02 
109	2.109375E-02 
110	2.128906E-02 
111	2.148438E-02 
112	2.167969E-02 
113	2.187500E-02 
114	2.207031E-02 
115	2.226563E-02 
116	2.246094E-02 
117	2.265625E-02 
118	2.285156E-02 
119	2.304688E-02 
120	2.324219E-02 
121	2.343750E-02 
122	2.363281E-02 
123	2.382813E-02 
124	2.402344E-02 
125	2.421875E-02 
126	2.441406E-02 
127	2.460938E-02 
128	2.480469E-02 
129	2.500000E-02 
130	2.519531E-02 
131	2.539062E-02 
132	2.558594E-02 
133	2.578125E-02 
134	2.597656E-02 
135	2.617188E-02 
136	2.636719E-02 
137	2.656250E-02 
138	2.675781E-02 
139	2.695313E-02 
140	2.714844E-02 
141	2.734375E-02 
142	2.753906E-02 
143	2.773438E-02 
144	2.792969E-02 
145	2.812500E-02 
146	2.832031E-02 
147	2.851563E-02 
148	2.871094E-02 
149	2.890625E-02 
150	2.910156E-02 
151	2.929688E-02 
152	2.949219E-02 
153	2.968750E-02 
154	2.988281E-02 
155	3.007813E-02 
156	3.027344E-02 
157	3.046875E-02 
158	3.066406E-02 
159	3.085938E-02 
160	3.105469E-02 
161	3.125000E-02 
162	3.144531E-02 
163	3.164062E-02 
164	3.183594E-02 
165	3.203125E-02 
166	3.222656E-02 
167	3.242188E-02 
168	3.261719E-02 
169	3.281250E-02 
170	3.300781E-02 
171	3.320312E-02 
172	3.339844E-02 
173	3.359375E-02 
174	3.378906E-02 
175	3.398438E-02 
176	3.417969E-02 
177	3.437500E-02 
178	3.457031E-02 
179	3.476563E-02 
180	3.496094E-02 
181	3.515625E-02 
182	3.535156E-02 
183	3.554687E-02 
184	3.574219E-02 
185	3.593750E-02 
186	3.613281E-02 
187	3.632813E-02 
188	3.652344E-02 
189	3.671875E-02 
190	3.691406E-02 
191	3.710938E-02 
192	3.730469E-02 
193	3.750000E-02 
194	3.769531E-02 
195	3.789063E-02 
196	3.808594E-02 
197	3.828125E-02 
198	3.847656E-02 
199	3.867188E-02 
200	3.886719E-02 
201	3.906250E-02 
202	3.925781E-02 
203	3.945313E-02 
204	3.964844E-02 
205	3.984375E-02 
206	4.003906E-02 
207	4.023438E-02 
208	4.042969E-02 
209	4.062500E-02 
210	4.082031E-02 
211	4.101562E-02 
212	4.121094E-02 
213	4.140625E-02 
214	4.160156E-02 
215	4.179688E-02 
216	4.199219E-02 
217	4.218750E-02 
218	4.238281E-02 
219	4.257813E-02 
220	4.277344E-02 
221	4.296875E-02 
222	4.316406E-02 
223	4.335938E-02 
224	4.355469E-02 
225	4.375000E-02 
226	4.394531E-02 
227	4.414063E-02 
228	4.433594E-02 
229	4.453125E-02 
230	4.472656E-02 
231	4.492188E-02 
232	4.511719E-02 
233	4.531250E-02 
234	4.550781E-02 
235	4.570313E-02 
236	4.589844E-02 
237	4.609375E-02 
238	4.628906E-02 
239	4.648438E-02 
240	4.667969E-02 
241	4.687500E-02 
242	4.707031E-02 
243	4.726563E-02 
244	4.746094E-02 
245	4.765625E-02 
246	4.785156E-02 
247	4.804688E-02 
248	4.824219E-02 
249	4.843750E-02 
250	4.863281E-02 
251	4.882812E-02 
252	4.902344E-02 
253	4.921875E-02 
254	4.941406E-02 
